# cpptools - Full API & Side Effects Report (AST)
Files analyzed: 161

## vscode API
    155x  vscode.window
      1x  vscode.window.onDidChangeTextEditorSelection
      1x  vscode.window.onDidChangeVisibleTextEditors
      1x  vscode.TaskScope.Global
      1x  vscode.lm.registerTool
      1x  vscode.lm
      1x  vscode.languages.getDiagnostics
      1x  vscode.LanguageModelChatMessage.User
      1x  vscode.LanguageModelChatMessage
      1x  vscode.window.activeTextEditor.selection.active
      1x  vscode.IndentAction.IndentOutdent
      1x  vscode.LanguageModelToolResult
      1x  vscode.LanguageModelTextPart
      1x  vscode.ThemeIcon.File
      1x  vscode.ThemeIcon
      1x  vscode.window.createTreeView
      1x  vscode.Uri.joinPath
      1x  vscode.window.activeTextEditor.viewColumn
      1x  vscode.window.createWebviewPanel
      1x  vscode.ViewColumn.One
      1x  vscode.window.onDidChangeWindowState
      1x  vscode.ThemeColor
      1x  vscode.window.onDidCloseTerminal
      1x  vscode.window.onDidWriteTerminalData
      1x  vscode.window.createInputBox
      1x  vscode.workspace.fs.createDirectory
      1x  vscode.workspace.fs
      1x  vscode.workspace.workspaceFolders.find
      1x  vscode.version.split
      1x  vscode.version
      1x  vscode.workspace.registerTextDocumentContentProvider
      1x  vscode.tasks.registerTaskProvider
      1x  vscode.env.appName

## vscode Types (type-only)
      8x  vscode.WorkspaceFolder
      6x  vscode.QuickPickItem
      3x  vscode.Task
      3x  vscode.TextEditor
      2x  vscode.HoverProvider
      2x  vscode.TaskDefinition
      2x  vscode.Pseudoterminal
      2x  vscode.Disposable
      2x  vscode.Event
      2x  vscode.TerminalDimensions
      2x  vscode.TreeDataProvider
      2x  vscode.TreeItem
      1x  vscode.QuickInputButton
      1x  vscode.DebugConfigurationProvider
      1x  vscode.CompletionItemProvider
      1x  vscode.DebugConfiguration
      1x  vscode.DebugAdapterDescriptorFactory
      1x  vscode.CallHierarchyProvider
      1x  vscode.CodeActionProvider
      1x  vscode.DocumentFormattingEditProvider
      1x  vscode.DocumentRangeFormattingEditProvider
      1x  vscode.DocumentSymbolProvider
      1x  vscode.ReferenceProvider
      1x  vscode.FoldingRangeProvider
