# VS Code Extension API & Side Effects Analysis (AST-based)

Analyzed 12 extensions (11 with source code)
Generated: 2026-04-03T09:25:02.165Z

## 1. vscode API Methods & Properties

  ███████████ 11/11  vscode.workspace.getConfiguration                       [auto-rename-tag, code-runner, cpptools, eslint, gitlens, live-server, material-icon-theme, path-intellisense, prettier, python, rest-client]
  ███░░░░░░░░  3/11  vscode.window.withProgress                              [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.ProgressLocation.Notification                    [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.commands.registerTextEditorCommand               [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.env.remoteName                                   [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.CodeActionKind.QuickFix                          [cpptools, eslint, python]
  ███░░░░░░░░  3/11  vscode.window.visibleTextEditors                        [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.languages.createDiagnosticCollection             [cpptools, python, rest-client]
  ███░░░░░░░░  3/11  vscode.QuickPickItemKind.Separator                      [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.window.createTextEditorDecorationType            [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.workspace.applyEdit                              [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.ViewColumn.Active                                [cpptools, gitlens, rest-client]
  ███░░░░░░░░  3/11  vscode.env.clipboard.writeText                          [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.workspace.onDidSaveTextDocument                  [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.DiagnosticSeverity.Warning                       [cpptools, python, rest-client]
  ███░░░░░░░░  3/11  vscode.env.machineId                                    [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.env.uiKind                                       [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.UIKind.Web                                       [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.window.onDidChangeTextEditorSelection            [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.window.onDidChangeVisibleTextEditors             [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.languages.setLanguageConfiguration               [cpptools, python, rest-client]
  ███░░░░░░░░  3/11  vscode.window.createTreeView                            [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.window.createWebviewPanel                        [cpptools, gitlens, rest-client]
  ███░░░░░░░░  3/11  vscode.window.onDidChangeWindowState                    [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.window.createInputBox                            [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.workspace.fs.createDirectory                     [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.env.appName                                      [cpptools, gitlens, python]
  ███░░░░░░░░  3/11  vscode.languages.match                                  [eslint, prettier, rest-client]
  ███░░░░░░░░  3/11  vscode.LanguageStatusSeverity.Information               [eslint, prettier, python]
  ███░░░░░░░░  3/11  vscode.LanguageStatusSeverity.Warning                   [eslint, prettier, python]
  ███░░░░░░░░  3/11  vscode.QuickInputButtons.Back                           [gitlens, python, rest-client]
  ███░░░░░░░░  3/11  vscode.env.language                                     [gitlens, material-icon-theme, python]
  ███░░░░░░░░  3/11  vscode.ViewColumn.Beside                                [gitlens, python, rest-client]
  ███░░░░░░░░  3/11  vscode.StatusBarAlignment.Left                          [gitlens, python, rest-client]
  ███░░░░░░░░  3/11  vscode.window.showSaveDialog                            [gitlens, python, rest-client]
  ███░░░░░░░░  3/11  vscode.workspace.findFiles                              [live-server, path-intellisense, python]
  ██░░░░░░░░░  2/11  vscode.CancellationTokenSource                          [auto-rename-tag, cpptools]
  ██░░░░░░░░░  2/11  vscode.workspace.fs.delete                              [auto-rename-tag, gitlens]
  ██░░░░░░░░░  2/11  vscode.Selection                                        [auto-rename-tag, cpptools]
  ██░░░░░░░░░  2/11  vscode.workspace.saveAll                                [code-runner, live-server]
  ██░░░░░░░░░  2/11  vscode.debug.startDebugging                             [cpptools, python]
  ██░░░░░░░░░  2/11  vscode.CompletionItemKind                               [cpptools, path-intellisense]
  ██░░░░░░░░░  2/11  vscode.debug.registerDebugConfigurationProvider         [cpptools, python]
  ██░░░░░░░░░  2/11  vscode.languages                                        [cpptools, python]
  ██░░░░░░░░░  2/11  vscode.debug.registerDebugAdapterDescriptorFactory      [cpptools, python]
  ██░░░░░░░░░  2/11  vscode.EventEmitter                                     [cpptools, python]
  ██░░░░░░░░░  2/11  vscode.window.visibleTextEditors.find                   [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.Position                                         [cpptools, path-intellisense]
  ██░░░░░░░░░  2/11  vscode.languages.registerReferenceProvider              [cpptools, rest-client]
  ██░░░░░░░░░  2/11  vscode.languages.registerDocumentSymbolProvider         [cpptools, rest-client]
  ██░░░░░░░░░  2/11  vscode.languages.registerCodeActionsProvider            [cpptools, prettier]
  ██░░░░░░░░░  2/11  vscode.languages.registerDocumentFormattingEditProvider [cpptools, prettier]
  ██░░░░░░░░░  2/11  vscode.languages.registerDocumentRangeFormattingEditProvider [cpptools, prettier]
  ██░░░░░░░░░  2/11  vscode.window.activeTextEditor.document.uri.toString    [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.window.visibleTextEditors.filter                 [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.debug.activeDebugSession                         [cpptools, python]
  ██░░░░░░░░░  2/11  vscode.languages.setTextDocumentLanguage                [cpptools, rest-client]
  ██░░░░░░░░░  2/11  vscode.DecorationRangeBehavior.OpenOpen                 [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.EndOfLine.LF                                     [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.Disposable                                       [cpptools, eslint]
  ██░░░░░░░░░  2/11  vscode.workspace.textDocuments.find                     [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.extensions.all                                   [cpptools, python]
  ██░░░░░░░░░  2/11  vscode.window.onDidChangeTextEditorVisibleRanges        [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.tasks                                            [cpptools, eslint]
  ██░░░░░░░░░  2/11  vscode.lm.registerTool                                  [cpptools, python]
  ██░░░░░░░░░  2/11  vscode.LanguageModelChatMessage.User                    [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.IndentAction.None                                [cpptools, python]
  ██░░░░░░░░░  2/11  vscode.TreeItemCollapsibleState.Expanded                [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.ThemeIcon.File                                   [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.TreeItemCollapsibleState.None                    [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.window.activeTextEditor.viewColumn               [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.ViewColumn.One                                   [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.window.onDidWriteTerminalData                    [cpptools, python]
  ██░░░░░░░░░  2/11  vscode.version                                          [cpptools, python]
  ██░░░░░░░░░  2/11  vscode.workspace.registerTextDocumentContentProvider    [cpptools, gitlens]
  ██░░░░░░░░░  2/11  vscode.tasks.registerTaskProvider                       [cpptools, eslint]
  ██░░░░░░░░░  2/11  vscode.CodeActionKind.SourceFixAll                      [eslint, prettier]
  ██░░░░░░░░░  2/11  vscode.LanguageStatusSeverity.Error                     [eslint, prettier]
  ██░░░░░░░░░  2/11  vscode.ProgressLocation.Window                          [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.window.onDidChangeTextEditorViewColumn           [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.window.tabGroups                                 [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.languages.registerCodeLensProvider               [gitlens, rest-client]
  ██░░░░░░░░░  2/11  vscode.SymbolKind.Method                                [gitlens, rest-client]
  ██░░░░░░░░░  2/11  vscode.window.tabGroups.all                             [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.env.clipboard.readText                           [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.workspace.fs.stat                                [gitlens, path-intellisense]
  ██░░░░░░░░░  2/11  vscode.FileType.File                                    [gitlens, path-intellisense]
  ██░░░░░░░░░  2/11  vscode.FileType.Directory                               [gitlens, path-intellisense]
  ██░░░░░░░░░  2/11  vscode.env.uriScheme                                    [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.workspace.fs.writeFile                           [gitlens, prettier]
  ██░░░░░░░░░  2/11  vscode.workspace.fs.readFile                            [gitlens, path-intellisense]
  ██░░░░░░░░░  2/11  vscode.env.sessionId                                    [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.workspace.onDidGrantWorkspaceTrust               [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.FileSystemError.NoPermissions                    [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.FileSystemError.FileNotFound                     [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.workspace.fs.readDirectory                       [gitlens, path-intellisense]
  ██░░░░░░░░░  2/11  vscode.workspace.workspaceFolders.map                   [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.extensions.onDidChange                           [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.env.asExternalUri                                [gitlens, rest-client]
  ██░░░░░░░░░  2/11  vscode.workspace.workspaceFile                          [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.env.appRoot                                      [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.window.registerTerminalLinkProvider              [gitlens, python]
  ██░░░░░░░░░  2/11  vscode.workspace.textDocuments.filter                   [gitlens, rest-client]
