# gitlens - Full API & Side Effects Report (AST)
Files analyzed: 1101

## vscode API
      1x  vscode.workspace.createFileSystemWatcher
      1x  vscode.window.createTerminal
      1x  vscode.extensions.onDidChange
      1x  vscode.lm.onDidChangeChatModels
      1x  vscode.LanguageModelChatMessage.Assistant
      1x  vscode.LanguageModelChatMessage.User
      1x  vscode.authentication.getSession
      1x  vscode.workspace.provider_data.repositories.nodes
      1x  vscode.workspace.provider_data.repositories
      1x  vscode.workspace.provider_data
      1x  vscode.workspace.repo_relation
      1x  vscode.workspace.azure_organization_id
      1x  vscode.workspace.azure_project
      1x  vscode.workspace.repositories.map
      1x  vscode.workspace.repositories
      1x  vscode.workspace.workspaceFile.fsPath
      1x  vscode.workspace.type
      1x  vscode.workspace.addRepositories
      1x  vscode.workspace.removeRepositories
      1x  vscode.window.showSaveDialog
      1x  vscode.QuickPickItemKind.Separator
      1x  vscode.workspace.onDidChangeConfiguration
      1x  vscode.workspace.textDocuments.find
      1x  vscode.window.activeTextEditor.viewColumn
      1x  vscode.window.visibleTextEditors.filter
      1x  vscode.window.tabGroups.all.flatMap
      1x  vscode.ExtensionMode.Test
      1x  vscode.ColorThemeKind.HighContrastLight
      1x  vscode.env.onDidChangeTelemetryEnabled
      1x  vscode.env.isTelemetryEnabled
      1x  vscode.env.shell
      1x  vscode.window.registerTerminalLinkProvider
      1x  vscode.workspace.onDidOpenTextDocument
      1x  vscode.workspace.textDocuments.filter
      1x  vscode.env.language.startsWith
      1x  vscode.EndOfLine.LF
      1x  vscode.window.registerUriHandler
      1x  vscode.TreeItemCheckboxState.Unchecked
      1x  vscode.window.registerFileDecorationProvider
      1x  vscode.workspace.workspaceFolders.some
      1x  vscode.window.tabGroups.onDidChangeTabGroups
      1x  vscode.window.registerCustomEditorProvider
      1x  vscode.window.tabGroups.all.find
      1x  vscode.window.registerWebviewViewProvider
      1x  vscode.window.createWebviewPanel
      1x  vscode.window.registerWebviewPanelSerializer

## vscode Types (type-only)
    656x  vscode.Uri
    301x  vscode.Disposable
    157x  vscode.CancellationToken
    141x  vscode.TextEditor
    105x  vscode.TreeItem
     77x  vscode.MessageItem
     74x  vscode.QuickInputButton
     67x  vscode.TextDocumentShowOptions
     55x  vscode.QuickPickItem
     51x  vscode.Event
     50x  vscode.ConfigurationChangeEvent
     47x  vscode.TextDocument
     38x  vscode.DecorationOptions
     35x  vscode.AuthenticationSession
     23x  vscode.Range
     21x  vscode.QuickPick
     19x  vscode.ThemeIcon
     18x  vscode.TextEditorDecorationType
     18x  vscode.Command
     17x  vscode.ConfigurationScope
     16x  vscode.EventEmitter
     15x  vscode.ProgressOptions
     14x  vscode.CancellationTokenSource
     14x  vscode.ViewColumn
     12x  vscode.Position
     12x  vscode.Selection
     12x  vscode.SymbolInformation
     12x  vscode.WorkspaceFolder
     11x  vscode.CodeLens
     11x  vscode.MarkdownString
     11x  vscode.FileDecoration
     10x  vscode.ExtensionContext
      8x  vscode.DocumentSymbol
      8x  vscode.SourceControl
      7x  vscode.Tab
      7x  vscode.StatusBarItem
      7x  vscode.WebviewPanel
      6x  vscode.ColorTheme
      6x  vscode.GitTimelineItem
      6x  vscode.SourceControlResourceGroup
      6x  vscode.TreeViewVisibilityChangeEvent
      6x  vscode.Webview
      5x  vscode.QuickInput
      5x  vscode.TextDocumentChangeEvent
      5x  vscode.TreeCheckboxChangeEvent
      5x  vscode.ViewBadge
      4x  vscode.ThemableDecorationAttachmentRenderOptions
      4x  vscode.Hover
      4x  vscode.TabChangeEvent
      4x  vscode.TextEditorEdit
      4x  vscode.SourceControlResourceState
      4x  vscode.TextDocumentContentChangeEvent
      4x  vscode.TreeItemCollapsibleState
      3x  vscode.InputBox
      3x  vscode.Extension
      3x  vscode.AuthenticationProviderAuthenticationSessionsChangeEvent
      3x  vscode.SecretStorageChangeEvent
      3x  vscode.TimelineItem
      3x  vscode.TextLine
      3x  vscode.TreeView
      3x  vscode.TreeViewExpansionEvent
      3x  vscode.TreeViewSelectionChangeEvent
      3x  vscode.WebviewView
      3x  vscode.WebviewOptions
      2x  vscode.TextEditorSelectionChangeEvent
      2x  vscode.Progress
      2x  vscode.ExtensionMode
      2x  vscode.FileChangeEvent
      2x  vscode.FileType
      2x  vscode.WindowState
      2x  vscode.WorkspaceFoldersChangeEvent
      2x  vscode.LanguageModelChat
      2x  vscode.AuthenticationSessionsChangeEvent
      2x  vscode.ThemeColor
      2x  vscode.ConfigurationTarget
      2x  vscode.TreeItemCheckboxState
      2x  vscode.WebviewPanelOptions
      1x  vscode.TextEditorViewColumnChangeEvent
      1x  vscode.CodeLensProvider
      1x  vscode.DocumentSelector
